office_code,Postcode
13,B
13,CV
13,CW1
13,CW11
13,CW12
13,CW2
13,CW3
13,CW4
13,CW5
13,DY
13,HR
13,ST
13,SY
13,SY2
13,TF
13,WR
13,WS
13,WV
14,BA
14,BH
14,BN11
14,BN12
14,BN13
14,BN14
14,BN15
14,BN16
14,BN17
14,BN18
14,BN43
14,BN44
14,BN45
14,BS
14,DT
14,EX
14,GL
14,GU26
14,GU27
14,GU28
14,GU29
14,GU30
14,GU31
14,GU32
14,GU33
14,GU34
14,GU35
14,PL
14,PO
14,RG21
14,RG22
14,RG23
14,RG24
14,RG25
14,RG26
14,RG27
14,RG28
14,SN
14,SO
14,SP
14,TA
14,TQ
14,TR
16,CF
16,CH4
16,CH5
16,CH6
16,CH7
16,CH8
16,LD
16,LL
16,NP
16,SA
16,SY15
16,SY16
16,SY17
16,SY18
16,SY19
16,SY20
16,SY21
16,SY22
16,SY23
16,SY24
16,SY25
18,BD
18,DN
18,HD
18,HG
18,HU
18,HX
18,LS
18,OL14
18,S
18,WF
18,YO
22,EC
22,N1
22,NW1
22,NW3
22,NW5
22,NW8
22,SW1
22,SW10
22,SW1A
22,SW1H
22,SW1P
22,SW3
22,SW5
22,SW6
22,SW7
22,W
23,BN
23,BR
23,CR
23,CT
23,DA
23,KT
23,ME
23,RH
23,SE
23,SM
23,SW
23,SW11
23,SW12
23,SW13
23,SW14
23,SW15
23,SW16
23,SW17
23,SW18
23,SW19
23,TN
23,TW1
23,TW10
23,TW11
23,TW12
23,TW2
23,TW3
23,TW7
23,TW8
23,TW9
24,BB
24,BL
24,CA
24,CH
24,CH2
24,CH3
24,CH41
24,CH42
24,CH43
24,CH44
24,CH45
24,CH46
24,CH47
24,CH48
24,CH49
24,CH50
24,CH51
24,CH52
24,CH53
24,CH54
24,CH55
24,CH56
24,CH57
24,CH58
24,CH59
24,CH60
24,CH61
24,CH62
24,CH63
24,CH64
24,CH65
24,CH66
24,CH88
24,CH99
24,CW10
24,CW6
24,CW7
24,CW8
24,CW9
24,FY
24,L
24,M
24,OL
24,PR
24,SK
24,WA
24,WN
25,DH
25,DL
25,NE
25,SR
25,TD
25,TS
25,YO21
25,YO22
25,YO7
26,DE
26,DN21
26,DN22
26,DN31
26,DN32
26,DN33
26,DN34
26,DN35
26,DN36
26,DN37
26,DN41
26,LE
26,LN
26,NG
26,PE10
26,PE11
26,PE12
26,PE20
26,PE21
26,PE22
26,PE23
26,PE24
26,PE25
26,S40
26,S41
26,S42
26,S43
26,S44
26,S45
26,S80
26,S81
32,CM
32,CO
32,E
32,E14
32,IG
32,RM
32,SS
33,AL
33,CB
33,EN
33,GU
33,HA
33,HP
33,IP
33,LU
33,MK
33,N
33,N10
33,N11
33,N12
33,N13
33,N14
33,N15
33,N16
33,N17
33,N18
33,N19
33,NN
33,NR
33,NW10
33,NW11
33,NW2
33,NW4
33,NW6
33,NW7
33,NW9
33,OX
33,PE
33,RG
33,SG
33,SL
33,SN7
33,TW13
33,TW14
33,TW15
33,TW16
33,TW17
33,TW18
33,TW19
33,TW20
33,TW4
33,TW5
33,TW6
33,UB
33,WD
41,AB
41,DD
41,DG
41,EH
41,FK
41,G
41,HS
41,IV
41,KA
41,KW
41,KY
41,ML
41,PA
41,PH
41,TD1
41,TD10
41,TD11
41,TD13
41,TD14
41,TD2
41,TD3
41,TD4
41,TD5
41,TD6
41,TD7
41,TD8
41,TD9
41,ZE
